32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.802734,16.800293,15.775391,19327352832,7520256,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,58.0658,58.0312,0,1.0006
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2677.11,3082.59,461,0.868461
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2770.43,3070.53,465,0.902265
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2782.59,3056.02,463,0.910526
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,2872.97,3094.25,436,0.928486
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,56.3956,56.3746,0,1.00037
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,56.1007,55.9201,0,1.00323
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,61.5744,62.3883,0,0.986955
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,17.078613,16.904785,16.314941,19327352832,8228864,0,0,1073741824,900202496,920,0,0,1,traditional_with_pset_runqueue,0,58.2393,58.3391,0,0.998288
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.705078,16.812500,16.556641,19327352832,8224768,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2655.49,3072.19,481,0.864365
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.705078,16.812500,16.556641,19327352832,8224768,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2882.27,3084.94,454,0.934304
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.705078,16.812500,16.556641,19327352832,8224768,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2912.48,3085.81,446,0.943832
32768,0,64,32768,0,64,6291456,24,64,0,0,64,0,0,0,8,Intel(R) Xeon(R) CPU           X5472  @ 3.00GHz,3000000000,Darwin,buzz.local,13.3.0,Darwin Kernel Version 13.3.0: Tue Jun  3 21:27:35 PDT 2014; root:xnu-2422.110.17~1/RELEASE_X86_64,x86_64,1406332854.000000,16.705078,16.812500,16.556641,19327352832,8224768,0,0,1073741824,900202496,916,0,0,1,traditional_with_pset_runqueue,0,2654.67,3070.88,472,0.864464
